Category,Title,Summary,Date Accessed (dmy),Source
Wisdom,Wisdom Traits,"Recognize the limits of your knowledge, acknowledge uncertainty and change, attention to context and the bigger picture, integrate different perspectives of a situation,... balance intrapersonal (self), interpersonal (others), and institutional (society) interests,... and emotional regulation.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Problem Solving,Blind Men And An Elephant,Consider multiple perspectives as no single viewpoint captures the whole truth.,22 Oct 2025,https://en.wikipedia.org/wiki/Blind_men_and_an_elephant
Problem Solving,Buridan's Ass,Analysis paralysis between two equal options risks missed opportunities.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Problem Solving,Willpower Paradox,People may do things better by focusing less directly on doing them.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Problem Solving,Inventor's Paradox,Solving general problems can reveal principles to solve specific problems.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Aesthetics,Suspension Of Disbelief,Ignoring the impossible aspects of fiction to enjoy it.,22 Oct 2025,https://en.wikipedia.org/wiki/Suspension_of_disbelief
Logic,Occam's Razor,Explanations that require fewer unjustified assumptions are more likely to be correct.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Logic,Hanlon's Razor,Actions that seem malicious could be the result of stupidity.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Logic,Hitchens’s Razor,Claims asserted without evidence can be dismissed without evidence.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Logic,Popper’s Falsifiability Criterion,Scientific theories must be testable and falsifiable.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Logic,Sagan Standard,Extraordinary claims require extraordinary evidence.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Ethics,Memento Mori,Remember that your time is finite and you will inevitably die.,22 Oct 2025,https://en.wikipedia.org/wiki/Memento_mori
Ethics,Chesterton's Fence,Don't change a system or rule until you understand why it exists.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Risk Management,Swiss Cheese Model,No safeguard is perfect so use multiple to prevent a single point of failure.,22 Oct 2025,https://en.wikipedia.org/wiki/Swiss_cheese_model
Risk Management,Bus Factor,The risk of losing critical knowledge if key team members leave or die.,22 Oct 2025,https://en.wikipedia.org/wiki/Bus_factor
Psychology,Idea Metaphors,"Location (movement), object (manipulated), and food (consumed)",22 Oct 2025,https://sketchplanations.com/metaphors-for-ideas
Problem Solving,"Rose, Thorn, And Bud Model","""What is going well?"", ""What is not working?"", and ""What could we try?”",22 Oct 2025,https://sketchplanations.com/rose-thorn-bud
Problem Solving,XY Problem,Ensure the root cause of a problem is correctly identified before finding a solution.,22 Oct 2025,https://en.wikipedia.org/wiki/XY_problem
Problem Solving,Yak Shaving,Don’t get sidetracked by small trivial tasks that detract from the main goal.,22 Oct 2025,https://sketchplanations.com/yak-shaving
Heuristic,Decision Heuristics,"Take-the-first, take-the-best, hiatus, default, priority, recognition, fluency, tradeoff, and trial-and-error",22 Oct 2025,https://en.wikipedia.org/wiki/Heuristic
Heuristic,Don’t Ask The Barber For A Haircut,Those who benefit from your decision are incentivized to promote it.,22 Oct 2025,https://en.wiktionary.org/wiki/never_ask_the_barber_if_you_need_a_haircut
Cognitive Bias,Dunning–Kruger Effect,Unskilled people often overestimate their abilities and skilled people often underestimate their abilities.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Risk Management,Goodhart's Law,"When a measure becomes a target, it ceases to be a good measure.",22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Project Management,Brooks's Law,Adding manpower to a late software project makes it later.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Project Management,Hofstadter's Law,Tasks always take longer than you expect.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Problem Solving,Gall's Law,Functioning complex systems evolve from functioning simple systems.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Problem Solving,Pareto Principle,80% of outputs tend to come from 20% of inputs.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Problem Solving,Tesler's Law,Every software application has an inherent amount of complexity that cannot be removed or hidden.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_eponymous_laws
Ethics,Front Page Test,How would you feel if everyone knew about your actions?,22 Oct 2025,https://sketchplanations.com/the-front-page-test
Ethics,"Everybody, Somebody, Anybody, And Nobody","Take responsibility and don't assume others will do what you won’t.",22 Oct 2025,https://sketchplanations.com/whose-job-is-it
Time Management,Relevance Question,"""Will this matter a year from now?”",22 Oct 2025,https://www.instagram.com/p/Ch4UfwPj6Nn
Time Management,Productivity Questions,"“What am I doing now?”, “Is it getting me anywhere?"", and “What else could I be doing instead?”",22 Oct 2025,https://en.wikipedia.org/wiki/Metacognition
Metacognition,Improve Metacognition,"Self-questioning,... think aloud,... and make graphic representations of thoughts and knowledge.",22 Oct 2025,https://en.wikipedia.org/wiki/Metacognition
Time Management,Time Wasters,"Lack of priorities, waiting for inspiration, doing everything yourself, worrying what people will say, not living your life, fearing failure, complaining, unfinished tasks, pleasing everybody, comparing yourself to others, repeating mistakes, and perfectionism",22 Oct 2025,https://www.linkedin.com/posts/davidsymsmith_timewasters-timemanagement-productivity-activity-7184998089454182401-aEWt?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC_-VgUBGVZMBxsY1V7TlPQyQsmUwW8dqMk
Ethics,Accountability Mindset,"Acknowledges mistakes, takes responsibility, finds solutions, and makes it happen.",23 Oct 2025,https://sketchplanations.com/the-accountability-ladder
Ethics,Real Online,Be real online as anonymity often encourages bad behavior.,23 Oct 2025,https://sketchplanations.com/be-real-on-the-internets
Ethics,Never Just This Once,It's easier to uphold your principles 100% of the time when you never compromise.,23 Oct 2025,https://sketchplanations.com/the-dangers-of-just-this-once
Ethics,Hope Model,"Desire a future state, see alternative pathways, and believe in your agency and ability to succeed.",23 Oct 2025,https://sketchplanations.com/hope
Ethics,Point Positive,It’s more constructive to point to solutions than to problems.,23 Oct 2025,https://sketchplanations.com/point-positive
Ethics,Civil Conversation Rules,"Reach a shared understanding rather than winning; clarify others’ perspectives; avoid logical fallacies; recognize personal biases and be intellectually humble; be reasonable, rational, and create coherent arguments; avoid personal attacks and mean-spiritedness; apply the principle of charity; and be open to changing your mind.",23 Oct 2025,https://therulesofcivilconversation.org/
Problem Solving,KISS,Most systems work and are understood better if they are kept simple.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,YAGNI,Don't implement something until it's necessary.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,Simplest-First,Do the simplest thing that could possibly work.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,Separation of Concerns,Divide a system into distinct sections that handle a single concern.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,Code For The Maintainer,Design and document systems so others can maintain them easily.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,Avoid Premature Optimization,Focus on completing essential parts and optimize later if necessary.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,Optimize For Deletion,Design systems so components can be easily changed later.,23 Oct 2025,https://github.com/webpro/programming-principles
Problem Solving,DRY,Avoid duplication and ensure each piece of knowledge has a single source.,23 Oct 2025,https://github.com/webpro/programming-principles
Ethics,Boy Scout Rule,Leave the campground cleaner than you found it.,23 Oct 2025,https://github.com/webpro/programming-principles
Ethics,The Two Wolves,There is a good and evil wolf within us and the one you feed the most prevails.,3 Nov 2025,https://en.wikipedia.org/wiki/Two_Wolves
Ethics,The Greatest Command,Love God wholly and love your neighbour as yourself.,3 Nov 2025,https://en.wikipedia.org/wiki/Great_Commandment
Ethics,4000 Weeks,If you live to be 80 then you have 4000 weeks to live.,3 Nov 2025,https://en.wikipedia.org/wiki/Four_Thousand_Weeks:_Time_Management_for_Mortals
Problem Solving,The Map Is Not the Territory,Mental models are useful abstractions that simplify the complexity of reality but don't caputure everything.,3 Nov 2025,https://fs.blog/map-and-territory/
Problem Solving,Metathinking Process,"Deep (research/define), wide (creative/divergent), narrow (critical/convergent), and up (synthesize/iterate).",3 Nov 2025,https://kitted.app/insight/the-metathinking-process/0010
Psychology,Growth Mindset,The belief that intelligence and psychological capabilities can be developed through effort.,3 Nov 2025,https://en.wiktionary.org/wiki/growth_mindset
Psychology,"Maslow's Hierarchy Of Needs
","Physiological, Safety, Love And Belonging, Esteem, and Self-actualisation",3 Nov 2025,https://en.wikipedia.org/wiki/Maslow%27s_hierarchy_of_needs
Ethics,Circle Of Competence,Stay within the domains matching your skills and expertise.,3 Nov 2025,https://en.wikipedia.org/wiki/Circle_of_competence
Problem Solving,First Principles Thinking,Breakdown problems into fundamental parts to seperate what is absolutely true vs assumptions to build a foundation.,3 Nov 2025,https://fs.blog/first-principles/
Problem Solving,Second-Order Thinking,Consider the long-term consequences of decisions.,3 Nov 2025,https://fs.blog/second-order-thinking/
Problem Solving,Socratic Questioning,Clarify thinking and its origin; Challenge assumptions; Request evidence; Explore alternative perspectives and conflicts between contentions; Explore implications and consequences; Question the question.,3 Nov 2025,https://en.wikipedia.org/wiki/Socratic_questioning
Economics,Law Of Diminishing Returns,Benefits are never infinitely scalable and tend to decay rapidly at a certain point.,3 Nov 2025,https://kitted.app/insight/the-law-of-diminishing-returns/0046
Problem Solving,Probabilistic Thinking,Estimating the likelihood of uncertain events to make better decisions.,3 Nov 2025,https://fs.blog/probabilistic-thinking/
Project Management,Minimum Viable Product,Create a basic useable product that focuses on key features to quickly challenge assumptions and gather feedback.,3 Nov 2025,https://en.wikipedia.org/wiki/Minimum_viable_product
Psychology,Destiny Instinct,Small changes lead to big changes over time.,3 Nov 2025,https://sketchplanations.com/the-destiny-instinct
Psychology,Boiling Frog,Slow changes often go unnoticed until it’s too late.,3 Nov 2025,https://en.wikipedia.org/wiki/Boiling_frog
Psychology,"Front Of House, Back Of House",Don’t compare your messy behind-the-scenes to others’ polished front.,3 Nov 2025,https://sketchplanations.com/front-of-house-back-of-house
Communication,Modes Of Persuasion,"Appeal to: ethos (authority and credibility), pathos (emotion), logos (logic and reason), and kairos (timeliness and context).",3 Nov 2025,https://en.wikipedia.org/wiki/Modes_of_persuasion
Law,Burden Of Proof,The party making a claim must provide evidence to prove its validity.,3 Nov 2025,https://en.wikipedia.org/wiki/Burden_of_proof_(law)
Problem Solving,Thought Experiment Questions,"“What might happen if X?”, “What might have happened if X?”, ""What would someone do if X?"", and ""What would I do if X?""",3 Nov 2025,https://en.wikipedia.org/wiki/Thought_experiment
